,Unnamed: 0,user_id,business_id,text,date,compliment_count
0,67,_RvEDmpbQZulEdAV590QKg,xQLs0A2dzgXgJq6K2U_UUA,"['annoy', 'notoffer', 'baby', 'movies', 'week', 'hood', 'moms']",2012-01-09 19:46:53,0
1,116,udpfGxriuoBdWRBdplJl-w,jobP3ywRd3QNZ_GCoPG2DQ,"['finally', 'watch', 'transformers', '3d', 'imax']",2011-07-13 02:37:57,0
2,126,93z51tzHUp4ycmC45puYRg,h6Y1-KfN2XBkcrV85CS8yg,"['seat', 'good', 'food', 'ok', 'dece', 'notdrinks', 'better', 'regular', 'movie']",2014-08-29 15:14:09,0
3,209,2i4n1dxsxQL2C2eRTJwdmQ,-ipc5f0XiXwH3hbNnro54Q,"['21', 'jumpstreetchanning', 'tatum']",2012-03-24 04:57:49,0
4,407,t_uV5QZeKuuiTEEMsGPtQg,2fqHO2vFbcwVV27c_Irm8Q,"['best', 'movie', 'theater']",2016-12-06 18:53:16,0
5,412,FiHiGLDPsNv7nzgpUXgKlw,pJQSdbrtQQVstMUUIICSsA,"['nothave', 'problems']",2016-05-01 02:37:42,0
6,442,MbKhZ5jip0OVZ_4Lx3S0lg,BxKe9Xt_fN6qBzrTofHuEQ,"['omg', 'insidious']",2011-04-28 02:19:43,0
7,576,ciXjBfJrAEteIKpzZg4I9g,n-AQFKbW6MnpamdtA6ECpQ,"['happy', 'hour', 'cinebarre']",2014-06-14 22:39:47,0
8,896,rdysF0ymVkMX82Bu_8x3nA,fZioXnBVf-KAsCFX-P2whg,"['sherlock', 'holmes', '2']",2011-12-25 00:26:58,0
9,901,HFItzRohDHZvcKDrM6ABZg,wYZoSBvIbJWvDl-ruZwJ7Q,"['techmunch', 'food', 'bloggers', 'conference']",2012-07-22 15:02:09,0
10,924,bv2Q8Y6WdfUpX3sDHyTq9A,73dPwH6vfycfRjuM9PGnbg,"['youre', 'teenager', 'stub', 'time', 'follow', 'accuse', 'try', 'steal', 'sneak', 'theatre', 'police']",2015-06-08 02:15:21,0
11,928,cK-tsr9qzvDzq0UjmvDsuA,9Fuv3NFX90vjLkP-Dk8cog,"['6', 'tuesday']",2014-06-04 00:59:51,0
12,934,2LLO9HbhgUULhctJpFSqJg,lqCJiHlxzRpuYt-u_XQUvg,"['regularly', 'screen', 'old', 'movies', 'come', 'saw', 'daze', 'confuse', '420', 'lol']",2016-04-21 01:53:28,0
13,1027,rsmGwZ6MhctENKxxYwk4sg,jobP3ywRd3QNZ_GCoPG2DQ,"['baby', 'lorax']",2012-03-13 21:36:50,0
14,1101,WPe2n-x6xBNy2GIC5LcpdA,cqjqc8pd3SCxTDWiH49Q5Q,[],2013-12-03 03:47:07,0
15,1160,HG_-DYGnFv3QwnFtB3GVAg,GIPY7lBIIY8ITSfu63q-YQ,"['watch', 'winnie', 'pooh', 'deven', 'ethan', 'hot', 'monday', 'afternoon']",2011-07-25 17:13:08,0
16,1344,XChCfeJ6Yx2NDJIpIgRhyg,c9o0sBdEvER2nBeZ6HS9pw,"['live', 'life', '14', 'mile', 'time', 'watch', 'fast', 'furious', '6', 'oh', 'yeah']",2013-05-28 21:58:17,0
17,1425,M9rRM6Eo5YbKLKMG5QiIPA,GAOeyq-7gt9QByhdcAK3cQ,"['dark', 'knight', 'rise', 'imax']",2012-07-27 06:02:40,0
18,1542,7uTXBHfU1_DCKVGmV1KRcA,h6Y1-KfN2XBkcrV85CS8yg,"['2016', 'best', 'az', 'fun']",2015-12-31 16:19:42,0
19,1548,SvkOt67Q4pOw2oviK_13og,NdUuGRxEH0waBQbL6R7mmg,"['wtf', 'im', 'drag', 'feel', 'like', 'im', 'arizona', 'lol']",2011-07-13 01:42:23,0
20,1596,UYcmGbelzRa0Q6JqzLoguw,K1ekU1q26tNrImHrt3rr2A,"['rat', 'theatre', 'time']",2010-11-21 18:58:35,0
21,1618,cZ16H_Fc3s2-2AYrs-LEJg,p0iEUamJVp_QpaheE-Nz_g,"['day', 'film']",2011-10-05 08:55:47,0
22,1823,xZhxXL2GJqJ_XGOswVG-iA,Z96TEJDXyUhCerS-9QllXw,"['great', 'date', 'nite']",2012-05-19 02:06:32,0
23,1824,Cu9MQKVY2BEMCudwK9uSUA,sNBaDJM4Khm1BbrBRyrMVQ,"['simple', 'spot', 'engage', 'social', 'awareness', 'communication']",2012-04-02 00:38:27,0
24,1874,U80q9lgHcGkjJxY1WJSXXw,MgnC3c3IByQkOJ0vyBKfUA,"['friend', 'invite', 'im', 'nota', 'big', 'fan', 'play', 'appreciate', 'enjoy', 'food', 'good', 'lot', 'variety']",2017-03-13 04:28:22,0
25,2023,yzwOcVyWuXQpmDlPXWw0Mw,dwogRZ8Vdu7Pd4qSN0UwXg,"['excelle', 'notvip', '19', 'movie', 'experience', 'definitely', 'better', 'actually', 'finish', 'build', 'facility']",2015-05-23 22:15:01,0
